transaction_id,account_id,transaction_date,transaction_type,category,amount,payment_mode,merchant_category,transaction_status,transaction_year,transaction_month,transaction_month_name
T000256,A01294,2025-08-04,Credit,Other,43068.11,Credit Card,Retail,Success,2025,8,August
T000257,A00468,2025-09-08,Credit,Travel,98686.5,Debit Card,Healthcare,Success,2025,9,September
T000258,A04917,2026-04-28,Debit,Travel,88751.37,Credit Card,Fuel,Success,2026,4,April
T000259,A01383,2025-09-25,Credit,Shopping,74212.72,Debit Card,Education,Success,2025,9,September
T000260,A03256,2025-12-29,Debit,Travel,56159.27,ATM,Healthcare,Success,2025,12,December
T000261,A01901,2025-12-13,Credit,Entertainment,35542.53,Debit Card,Other,Success,2025,12,December
T000262,A02180,2026-02-09,Debit,Utilities,75775.75,ATM,Retail,Success,2026,2,February
T000263,A00216,2024-11-27,Credit,Food,82130.99,Credit Card,Utility,Success,2024,11,November
T000264,A02014,2026-06-02,Debit,Other,64920.07,ATM,Travel,Success,2026,6,June
T000265,A02726,2026-04-22,Debit,Food,93741.65,ATM,Education,Success,2026,4,April
T000266,A02741,2025-06-21,Debit,Healthcare,11880.05,Debit Card,Fuel,Success,2025,6,June
T000267,A01396,2025-03-21,Debit,Shopping,61467.47,Net Banking,Healthcare,Success,2025,3,March
T000268,A03855,2025-12-15,Debit,Other,10811.43,UPI,Education,Success,2025,12,December
T000269,A02060,2026-01-14,Debit,Shopping,20120.89,Credit Card,Travel,Success,2026,1,January
T000270,A04130,2025-12-01,Credit,Utilities,39673.19,Net Banking,Fuel,Success,2025,12,December
T000271,A02279,2025-12-28,Credit,Entertainment,37766.01,UPI,Education,Success,2025,12,December
T000272,A03226,2024-09-16,Credit,Shopping,76771.97,Net Banking,Healthcare,Success,2024,9,September
T000273,A00055,2024-10-19,Debit,Utilities,257.05,Net Banking,Utility,Success,2024,10,October
T000274,A04105,2025-02-26,Debit,Healthcare,84035.38,Debit Card,Utility,Success,2025,2,February
T000275,A04798,2026-08-12,Credit,Shopping,30683.0,ATM,Fuel,Success,2026,8,August
T000276,A00959,2026-07-18,Credit,Shopping,13759.56,ATM,Travel,Success,2026,7,July
T000277,A03614,2026-07-10,Credit,Bills,69025.1,Net Banking,Online,Success,2026,7,July
T000278,A04579,2026-09-04,Debit,Travel,66677.3,UPI,Online,Success,2026,9,September
T000279,A03850,2024-11-14,Debit,Education,31578.38,Credit Card,Utility,Success,2024,11,November
T000280,A02772,2025-07-09,Debit,Education,38608.82,Credit Card,Restaurant,Success,2025,7,July
T000281,A04221,2025-09-09,Debit,Other,22099.34,Debit Card,Other,Success,2025,9,September
T000282,A02932,2025-10-09,Debit,Other,36732.82,Net Banking,Retail,Success,2025,10,October
T000283,A04402,2025-07-01,Credit,Travel,18165.96,ATM,Education,Success,2025,7,July
T000284,A02378,2025-09-21,Debit,Groceries,8500.31,ATM,Other,Success,2025,9,September
T000285,A02496,2024-10-18,Credit,Healthcare,27306.23,Net Banking,Fuel,Success,2024,10,October
T000286,A03683,2026-05-08,Credit,Shopping,27618.4,ATM,Other,Success,2026,5,May
T000287,A03417,2025-08-12,Credit,Utilities,6878.43,Credit Card,Travel,Success,2025,8,August
T000288,A03190,2024-11-02,Credit,Other,47979.55,Net Banking,Fuel,Success,2024,11,November
