transaction_id,account_id,transaction_date,transaction_type,category,amount,payment_mode,merchant_category,transaction_status
T000049,A02280,2025-07-04,Credit,Bills,25813.08,UPI,Education,Success
T000050,A04001,2025-09-13,Debit,Travel,70585.1,ATM,Online,Success
T000051,A02900,2025-05-20,Credit,Bills,51930.02,Credit Card,Other,Success
T000052,A04913,2026-01-11,Credit,Education,97531.07,Net Banking,Online,Success
T000053,A04013,2026-07-19,Debit,Other,23039.24,Credit Card,Travel,Success
T000054,A04709,2025-03-07,Credit,Other,64167.11,Debit Card,Online,Success
T000055,A00130,2025-03-01,Credit,Food,72017.09,UPI,Retail,Success
T000056,A01790,2025-12-06,Credit,Utilities,10427.35,UPI,Healthcare,Success
T000057,A01884,2026-02-10,Debit,Travel,34165.91,Net Banking,Retail,Success
T000058,A04348,2026-01-27,Credit,Utilities,63304.07,ATM,Online,Success
T000059,A00124,2026-04-04,Credit,Travel,35786.91,Net Banking,Online,Success
T000060,A03983,2024-12-08,Credit,Groceries,79740.13,UPI,Retail,Success
T000061,A02384,2025-05-29,Debit,Entertainment,16602.94,Debit Card,Online,Success
T000062,A02341,2025-03-31,Debit,Utilities,2431.6,Debit Card,Healthcare,Success
T000063,A02404,2026-01-05,Debit,Utilities,34969.08,ATM,Fuel,Success
T000064,A03060,2026-01-14,Debit,Healthcare,15832.01,Credit Card,Fuel,Success
T000065,A03713,2026-08-05,Credit,Shopping,82313.39,Net Banking,Travel,Success
T000066,A02644,2026-06-30,Credit,Travel,48635.49,Credit Card,Utility,Success
T000067,A02889,2025-01-30,Debit,Healthcare,7697.25,Debit Card,Travel,Failed
T000068,A04513,2025-03-02,Credit,Entertainment,45850.72,ATM,Retail,Success
T000069,A04029,2025-05-21,Credit,Bills,85224.8,Net Banking,Other,Success
T000070,A01435,2026-08-12,Credit,Other,68596.68,Net Banking,Travel,Success
T000071,A01713,2025-12-09,Credit,Education,25554.05,ATM,Other,Success
T000072,A01165,2026-04-08,Debit,Travel,66510.87,Credit Card,Healthcare,Success
T000073,A00008,2026-03-23,Debit,Utilities,26296.6,UPI,Travel,Success
T000074,A00673,2024-10-28,Debit,Food,14435.87,ATM,Travel,Success
T000075,A02623,2026-03-13,Debit,Utilities,34136.8,Debit Card,Other,Success
T000076,A03073,2024-11-18,Debit,Healthcare,16186.39,Credit Card,Online,Success
T000077,A01072,2025-01-26,Credit,Bills,2274.38,UPI,Utility,Success
T000078,A00184,2024-10-23,Credit,Travel,20528.86,Net Banking,Grocery,Success
T000079,A04906,2025-01-29,Credit,Utilities,49653.02,Net Banking,Restaurant,Success
T000080,A03133,2025-09-09,Credit,Other,89320.84,Debit Card,Fuel,Success
T000081,A00337,2025-02-11,Credit,Groceries,71218.65,ATM,Grocery,Success
T000082,A03151,2025-12-12,Debit,Travel,20313.01,Debit Card,Retail,Success
T000083,A03062,2026-04-07,Credit,Food,8775.04,Credit Card,Fuel,Success
T000084,A03522,2025-01-28,Debit,Bills,67730.66,ATM,Fuel,Success
T000085,A03861,2025-09-13,Debit,Bills,68446.93,UPI,Retail,Success
T000086,A03404,2025-06-26,Credit,Entertainment,49917.21,Net Banking,Education,Success
T000087,A03409,2025-03-29,Credit,Education,37809.77,Credit Card,Travel,Success
T000088,A00477,2025-02-07,Debit,Food,89961.48,ATM,Grocery,Success
T000089,A02049,2024-12-25,Debit,Healthcare,77174.64,UPI,Grocery,Success
T000090,A01145,2025-11-14,Credit,Other,20511.44,Credit Card,Travel,Success
T000091,A00404,2024-11-27,Debit,Travel,69145.63,Debit Card,Grocery,Success
T000092,A00573,2025-04-11,Credit,Utilities,31558.61,UPI,Education,Success
T000093,A03085,2026-01-25,Credit,Shopping,43273.25,Net Banking,Retail,Success
T000094,A02306,2026-03-02,Debit,Healthcare,63260.98,UPI,Healthcare,Success
T000095,A04154,2025-05-11,Credit,Entertainment,15802.94,Net Banking,Healthcare,Success
T000096,A02005,2024-10-03,Credit,Bills,45371.28,ATM,Education,Success
T000097,A01428,2025-01-17,Credit,Shopping,43734.55,Credit Card,Education,Success
T000098,A02826,2026-04-10,Debit,Shopping,15852.54,Credit Card,Utility,Success
T000099,A03719,2024-12-27,Credit,Groceries,16164.72,ATM,Restaurant,Success
T000100,A04348,2025-09-19,Debit,Other,67022.7,ATM,Healthcare,Success
T000101,A02935,2026-03-24,Debit,Entertainment,67901.96,Credit Card,Other,Success
T000102,A04784,2026-07-30,Credit,Healthcare,83637.47,Net Banking,Healthcare,Pending
T000103,A03544,2025-09-16,Credit,Healthcare,14523.53,ATM,Retail,Success
T000104,A00595,2025-12-27,Credit,Bills,30385.59,Debit Card,Utility,Success
T000105,A04411,2025-08-22,Credit,Healthcare,25639.02,UPI,Grocery,Success
T000106,A03850,2024-12-13,Credit,Other,68780.6,UPI,Grocery,Success
T000107,A02468,2026-04-16,Credit,Education,93894.7,ATM,Fuel,Success
T000108,A01174,2026-05-27,Credit,Shopping,74316.08,ATM,Retail,Success
T000109,A02537,2026-03-12,Debit,Education,48407.42,UPI,Education,Success
T000110,A03469,2025-11-10,Debit,Travel,10674.0,UPI,Fuel,Success
T000111,A00104,2026-02-16,Credit,Other,61846.48,UPI,Online,Success
T000112,A02868,2025-06-04,Credit,Healthcare,84318.87,Net Banking,Travel,Success
T000113,A01468,2026-03-29,Debit,Bills,76052.04,Net Banking,Education,Success
T000114,A04114,2026-01-20,Credit,Groceries,95951.24,UPI,Online,Success
T000115,A03206,2025-12-30,Debit,Healthcare,35921.53,Net Banking,Grocery,Success
T000116,A02989,2026-09-12,Credit,Entertainment,8186.99,Net Banking,Online,Success
T000117,A04770,2025-11-19,Credit,Shopping,56610.75,Net Banking,Fuel,Success
T000118,A03337,2025-08-26,Debit,Healthcare,56910.56,Credit Card,Travel,Success
T000119,A03386,2026-06-09,Debit,Groceries,21986.45,ATM,Travel,Success
T000120,A01540,2025-12-08,Debit,Bills,26153.83,Credit Card,Grocery,Success
T000121,A03058,2026-05-19,Credit,Other,40468.68,ATM,Restaurant,Success
T000122,A01191,2026-06-03,Credit,Other,45159.84,Credit Card,Utility,Success
T000123,A03178,2025-08-29,Credit,Utilities,30486.84,Net Banking,Other,Success
T000124,A04158,2025-11-30,Credit,Travel,8618.94,Net Banking,Fuel,Success
T000125,A01328,2024-12-08,Credit,Shopping,26061.09,Debit Card,Online,Success
T000126,A01501,2026-06-12,Debit,Healthcare,81388.99,UPI,Online,Success
T000127,A01926,2025-08-25,Debit,Groceries,13500.89,Credit Card,Online,Success
T000128,A00082,2026-06-23,Debit,Education,39106.26,UPI,Other,Success
T000129,A04116,2025-08-15,Credit,Travel,46722.42,UPI,Utility,Success
T000130,A02834,2024-10-30,Debit,Entertainment,542.66,Debit Card,Restaurant,Success
T000131,A03386,2026-02-01,Debit,Healthcare,41776.16,Debit Card,Travel,Success
T000132,A03062,2026-04-29,Credit,Other,73167.92,Debit Card,Other,Success
T000133,A00532,2025-04-01,Debit,Food,87999.27,UPI,Fuel,Success
T000134,A01306,2025-09-08,Credit,Travel,1944.77,Debit Card,Healthcare,Success
T000135,A01427,2026-07-08,Credit,Food,86500.85,Net Banking,Fuel,Success
T000136,A02662,2025-11-24,Debit,Travel,78725.95,Net Banking,Grocery,Success
T000137,A04218,2024-10-03,Debit,Shopping,96537.64,ATM,Retail,Success
T000138,A03517,2026-07-07,Credit,Utilities,66653.03,Net Banking,Restaurant,Success
T000139,A04606,2026-06-18,Credit,Travel,91856.01,UPI,Grocery,Success
T000140,A01341,2024-12-10,Debit,Education,48494.22,ATM,Retail,Success
T000141,A01713,2026-01-24,Credit,Entertainment,38555.28,Debit Card,Online,Success
T000142,A02489,2025-10-03,Credit,Bills,50761.11,Debit Card,Restaurant,Success
T000143,A02674,2026-02-02,Credit,Healthcare,1116.08,Debit Card,Education,Success
T000144,A01418,2026-07-17,Credit,Shopping,83277.04,Net Banking,Travel,Success
T000145,A01622,2025-09-03,Debit,Travel,15614.51,Credit Card,Travel,Success
T000146,A03672,2025-02-28,Credit,Entertainment,45217.63,UPI,Other,Success
T000147,A00389,2025-03-05,Debit,Shopping,36978.44,ATM,Education,Success
T000148,A03737,2024-11-14,Debit,Bills,70130.78,Net Banking,Travel,Success
T000149,A02393,2026-09-04,Debit,Utilities,35618.45,ATM,Utility,Success
T000150,A04119,2025-08-28,Debit,Shopping,90702.79,UPI,Travel,Success
T000151,A04810,2024-12-10,Credit,Education,49715.51,Credit Card,Other,Success
T000152,A03277,2025-09-26,Debit,Entertainment,85726.13,Net Banking,Online,Success
T000153,A01128,2025-08-29,Debit,Bills,70343.52,Net Banking,Grocery,Success
T000154,A02686,2026-01-04,Credit,Other,66674.35,UPI,Restaurant,Success
T000155,A04604,2024-09-25,Credit,Other,77891.74,Debit Card,Healthcare,Success
T000156,A02621,2025-06-08,Credit,Education,83382.21,Net Banking,Online,Success
T000157,A01948,2026-01-17,Credit,Healthcare,62570.86,UPI,Retail,Success
T000158,A04773,2026-02-09,Debit,Healthcare,59474.36,Net Banking,Education,Success
T000159,A01161,2025-07-24,Debit,Other,69726.9,Credit Card,Other,Success
T000160,A03143,2026-04-20,Debit,Groceries,57959.43,Credit Card,Grocery,Success
T000161,A03766,2025-08-06,Debit,Entertainment,38347.87,ATM,Travel,Success
T000162,A03357,2025-12-21,Debit,Utilities,49322.99,UPI,Education,Success
T000163,A01146,2025-10-22,Debit,Travel,92648.99,Debit Card,Utility,Failed
T000164,A00821,2025-04-16,Debit,Bills,1239.52,ATM,Other,Success
T000165,A03906,2025-12-11,Credit,Travel,44343.25,UPI,Fuel,Success
T000166,A01832,2025-06-01,Credit,Food,50378.38,Net Banking,Travel,Success
T000167,A00008,2025-09-08,Credit,Groceries,57972.59,UPI,Travel,Success
T000168,A02671,2026-02-04,Credit,Food,83915.44,Debit Card,Other,Success
T000169,A03919,2024-10-04,Debit,Healthcare,26137.92,Net Banking,Fuel,Success
T000170,A00622,2025-01-15,Credit,Food,72607.74,UPI,Other,Failed
T000171,A02800,2026-09-02,Credit,Entertainment,89437.13,ATM,Education,Success
T000172,A01975,2024-09-21,Debit,Healthcare,51796.67,ATM,Online,Success
T000173,A00477,2026-02-02,Debit,Healthcare,21313.28,UPI,Restaurant,Failed
T000174,A01443,2025-11-24,Credit,Entertainment,12865.21,Credit Card,Education,Success
T000175,A00399,2025-06-25,Debit,Other,32845.14,UPI,Healthcare,Success
T000176,A00743,2025-03-13,Credit,Entertainment,12302.8,Credit Card,Other,Success
T000177,A00107,2025-06-18,Debit,Shopping,7126.92,ATM,Retail,Failed
T000178,A00287,2026-01-15,Credit,Travel,51953.35,Credit Card,Healthcare,Success
T000179,A01899,2026-05-13,Credit,Education,28377.42,Net Banking,Other,Success
T000180,A04701,2025-08-14,Debit,Utilities,60477.81,UPI,Fuel,Success
T000181,A04352,2025-10-30,Credit,Other,37858.51,UPI,Utility,Success
T000182,A00895,2026-07-30,Debit,Shopping,35080.26,Debit Card,Utility,Success
T000183,A01435,2024-11-19,Credit,Groceries,10446.1,ATM,Retail,Success
T000184,A02895,2025-10-14,Credit,Shopping,57824.57,Debit Card,Other,Success
T000185,A01487,2024-11-14,Credit,Other,44903.22,ATM,Other,Success
T000186,A01870,2026-09-05,Debit,Travel,55826.43,Net Banking,Online,Pending
T000187,A03189,2025-09-10,Credit,Shopping,99375.07,Net Banking,Restaurant,Success
T000188,A04290,2026-05-06,Credit,Groceries,89434.95,Credit Card,Retail,Success
T000189,A04622,2026-01-01,Credit,Utilities,21864.96,Net Banking,Healthcare,Success
T000190,A01593,2025-06-02,Debit,Utilities,10081.99,Debit Card,Online,Success
T000191,A04657,2025-09-19,Debit,Other,87272.5,Net Banking,Retail,Success
T000192,A03129,2025-03-12,Debit,Utilities,16767.73,UPI,Education,Success
T000193,A02531,2025-02-03,Debit,Utilities,32637.82,Debit Card,Fuel,Success
T000194,A00864,2025-12-10,Debit,Education,50984.54,UPI,Travel,Success
T000195,A03679,2025-03-06,Credit,Education,49379.97,ATM,Restaurant,Pending
T000196,A04577,2025-05-30,Debit,Shopping,87469.74,UPI,Restaurant,Success
T000197,A03637,2026-01-12,Credit,Education,27054.62,Credit Card,Utility,Success
T000198,A01522,2026-08-11,Debit,Shopping,21000.5,UPI,Online,Success
T000199,A04341,2026-05-09,Credit,Groceries,59503.88,Debit Card,Healthcare,Success
T000200,A03868,2026-08-15,Debit,Entertainment,32430.56,Net Banking,Grocery,Success
T000201,A03317,2025-12-15,Credit,Other,84168.61,Net Banking,Healthcare,Success
T000202,A00777,2024-10-04,Credit,Healthcare,22965.06,Credit Card,Restaurant,Success
T000203,A02462,2026-04-24,Credit,Utilities,53231.18,Credit Card,Restaurant,Success
T000204,A04945,2025-06-04,Debit,Groceries,81655.56,Credit Card,Grocery,Success
T000205,A00844,2025-10-07,Debit,Healthcare,73607.75,Net Banking,Fuel,Success
T000206,A04452,2026-03-22,Credit,Groceries,32044.72,Net Banking,Healthcare,Success
T000207,A04051,2025-08-18,Debit,Healthcare,6122.43,Net Banking,Utility,Success
T000208,A04985,2025-06-10,Debit,Utilities,73549.75,UPI,Other,Success
T000209,A03555,2026-06-19,Credit,Shopping,17830.0,Net Banking,Travel,Success
T000210,A03509,2026-08-01,Debit,Travel,92181.81,Credit Card,Travel,Success
T000211,A01975,2026-06-29,Debit,Utilities,57850.57,Debit Card,Healthcare,Success
T000212,A02946,2026-08-03,Debit,Food,76953.75,Net Banking,Retail,Success
T000213,A02596,2025-04-15,Credit,Education,85337.67,Debit Card,Online,Success
T000214,A04456,2026-07-31,Debit,Travel,80429.42,Credit Card,Restaurant,Success
T000215,A03093,2025-12-16,Debit,Utilities,74769.36,Net Banking,Restaurant,Success
T000216,A04189,2026-05-29,Credit,Other,93558.94,Credit Card,Education,Success
T000217,A01474,2025-10-26,Debit,Education,2556.09,ATM,Travel,Success
T000218,A02287,2025-11-21,Credit,Utilities,75766.7,Debit Card,Online,Success
T000219,A04676,2025-01-18,Debit,Groceries,79672.9,Debit Card,Restaurant,Success
T000220,A02299,2026-03-24,Debit,Bills,93322.6,Debit Card,Restaurant,Success
T000221,A00008,2025-08-24,Credit,Bills,34916.9,ATM,Healthcare,Success
T000222,A00777,2026-07-25,Credit,Food,34238.43,Credit Card,Grocery,Success
T000223,A01346,2025-10-14,Credit,Utilities,89764.34,Debit Card,Grocery,Success
T000224,A00030,2025-07-06,Debit,Travel,34780.92,Debit Card,Retail,Success
T000225,A01299,2025-09-07,Debit,Entertainment,47536.86,Credit Card,Healthcare,Success
T000226,A00075,2025-01-21,Credit,Education,57999.24,ATM,Online,Success
T000227,A00822,2026-09-01,Credit,Utilities,58462.91,Net Banking,Restaurant,Success
T000228,A01211,2025-08-05,Credit,Shopping,52498.45,Debit Card,Utility,Success
T000229,A04393,2025-12-24,Credit,Entertainment,29288.0,Debit Card,Healthcare,Success
T000230,A00415,2025-07-09,Debit,Travel,2126.44,Debit Card,Travel,Success
T000231,A01451,2024-10-21,Credit,Entertainment,46736.39,Debit Card,Online,Success
T000232,A03250,2025-12-13,Debit,Travel,1742.98,ATM,Healthcare,Success
T000233,A00845,2025-03-14,Credit,Bills,74447.56,Debit Card,Utility,Success
T000234,A01931,2025-09-10,Debit,Entertainment,31228.48,UPI,Utility,Success
T000235,A02327,2025-12-10,Credit,Food,57139.22,UPI,Online,Success
T000236,A01963,2026-06-14,Credit,Travel,85858.92,UPI,Fuel,Failed
T000237,A00501,2025-12-05,Debit,Entertainment,41263.66,Net Banking,Online,Success
T000238,A01178,2026-05-03,Credit,Healthcare,83724.87,Credit Card,Grocery,Success
T000239,A00022,2025-04-18,Credit,Education,61570.61,Net Banking,Restaurant,Success
T000240,A04710,2025-11-05,Credit,Groceries,76404.38,UPI,Retail,Success
T000241,A04318,2025-12-26,Credit,Groceries,3734.87,Net Banking,Retail,Success
T000242,A00493,2025-03-23,Debit,Entertainment,89111.92,Credit Card,Online,Success
T000243,A00852,2025-03-14,Credit,Food,61287.07,Credit Card,Fuel,Success
T000244,A00868,2026-01-28,Credit,Bills,90162.31,Credit Card,Grocery,Failed
T000245,A03412,2024-11-16,Credit,Education,54614.32,Credit Card,Travel,Pending
T000246,A01810,2026-08-28,Debit,Groceries,43114.29,UPI,Restaurant,Success
T000247,A02244,2026-04-01,Debit,Travel,77441.27,ATM,Fuel,Success
T000248,A02083,2025-01-28,Debit,Education,7718.83,UPI,Retail,Success
T000249,A01406,2025-03-10,Credit,Shopping,16976.18,UPI,Travel,Success
T000250,A00250,2026-08-14,Credit,Entertainment,44506.21,Credit Card,Utility,Success
T000251,A01822,2025-10-24,Debit,Groceries,50011.64,UPI,Healthcare,Success
T000252,A02596,2026-07-11,Credit,Food,73580.68,UPI,Restaurant,Success
T000253,A04526,2025-09-12,Debit,Food,75398.93,ATM,Restaurant,Success
T000254,A01474,2026-01-01,Debit,Healthcare,78635.23,Debit Card,Retail,Success
T000255,A02902,2025-02-28,Debit,Groceries,84489.83,Net Banking,Utility,Success
T000256,A01294,2025-08-04,Credit,Other,43068.11,Credit Card,Retail,Success
T000257,A00468,2025-09-08,Credit,Travel,98686.5,Debit Card,Healthcare,Success
T000258,A04917,2026-04-28,Debit,Travel,88751.37,Credit Card,Fuel,Success
T000259,A01383,2025-09-25,Credit,Shopping,74212.72,Debit Card,Education,Success
T000260,A03256,2025-12-29,Debit,Travel,56159.27,ATM,Healthcare,Success
T000261,A01901,2025-12-13,Credit,Entertainment,35542.53,Debit Card,Other,Success
T000262,A02180,2026-02-09,Debit,Utilities,75775.75,ATM,Retail,Success
T000263,A00216,2024-11-27,Credit,Food,82130.99,Credit Card,Utility,Success
T000264,A02014,2026-06-02,Debit,Other,64920.07,ATM,Travel,Success
T000265,A02726,2026-04-22,Debit,Food,93741.65,ATM,Education,Success
T000266,A02741,2025-06-21,Debit,Healthcare,11880.05,Debit Card,Fuel,Success
T000267,A01396,2025-03-21,Debit,Shopping,61467.47,Net Banking,Healthcare,Success
T000268,A03855,2025-12-15,Debit,Other,10811.43,UPI,Education,Success
T000269,A02060,2026-01-14,Debit,Shopping,20120.89,Credit Card,Travel,Success
T000270,A04130,2025-12-01,Credit,Utilities,39673.19,Net Banking,Fuel,Success
T000271,A02279,2025-12-28,Credit,Entertainment,37766.01,UPI,Education,Success
T000272,A03226,2024-09-16,Credit,Shopping,76771.97,Net Banking,Healthcare,Success
T000273,A00055,2024-10-19,Debit,Utilities,257.05,Net Banking,Utility,Success
T000274,A04105,2025-02-26,Debit,Healthcare,84035.38,Debit Card,Utility,Success
T000275,A04798,2026-08-12,Credit,Shopping,30683.0,ATM,Fuel,Success
T000276,A00959,2026-07-18,Credit,Shopping,13759.56,ATM,Travel,Success
T000277,A03614,2026-07-10,Credit,Bills,69025.1,Net Banking,Online,Success
T000278,A04579,2026-09-04,Debit,Travel,66677.3,UPI,Online,Success
T000279,A03850,2024-11-14,Debit,Education,31578.38,Credit Card,Utility,Success
T000280,A02772,2025-07-09,Debit,Education,38608.82,Credit Card,Restaurant,Success
T000281,A04221,2025-09-09,Debit,Other,22099.34,Debit Card,Other,Success
T000282,A02932,2025-10-09,Debit,Other,36732.82,Net Banking,Retail,Success
T000283,A04402,2025-07-01,Credit,Travel,18165.96,ATM,Education,Success
T000284,A02378,2025-09-21,Debit,Groceries,8500.31,ATM,Other,Success
T000285,A02496,2024-10-18,Credit,Healthcare,27306.23,Net Banking,Fuel,Success
T000286,A03683,2026-05-08,Credit,Shopping,27618.4,ATM,Other,Success
T000287,A03417,2025-08-12,Credit,Utilities,6878.43,Credit Card,Travel,Success
T000288,A03190,2024-11-02,Credit,Other,47979.55,Net Banking,Fuel,Success
T000289,A00771,2026-04-02,Debit,Travel,77354.17,Credit Card,Retail,Success
T000290,A01685,2025-08-10,Credit,Utilities,90403.44,ATM,Grocery,Failed
T000291,A04251,2025-04-23,Debit,Food,81054.76,Net Banking,Travel,Success
T000292,A02277,2025-01-06,Debit,Shopping,47432.69,Debit Card,Grocery,Success
T000293,A04120,2026-07-31,Credit,Education,80207.47,Net Banking,Other,Success
T000294,A03172,2026-06-14,Credit,Utilities,46313.13,Debit Card,Online,Success
T000295,A00575,2025-07-02,Debit,Shopping,26442.66,Credit Card,Education,Pending
T000296,A03438,2025-02-12,Credit,Groceries,94094.84,Net Banking,Travel,Success
T000297,A01310,2025-03-24,Debit,Utilities,96883.02,ATM,Grocery,Success
T000298,A04019,2026-08-20,Credit,Bills,25899.64,ATM,Grocery,Success
T000299,A03313,2026-06-28,Debit,Utilities,29291.12,Credit Card,Utility,Success
T000300,A03014,2024-12-26,Debit,Education,71354.89,UPI,Healthcare,Success
T000301,A03411,2025-08-24,Debit,Groceries,53008.27,Credit Card,Other,Success
T000302,A04048,2025-08-22,Debit,Education,82175.89,Net Banking,Other,Success
T000303,A02092,2026-08-31,Debit,Food,74998.46,UPI,Retail,Success
T000304,A02227,2025-03-21,Debit,Education,37022.2,UPI,Restaurant,Success
T000305,A01008,2025-11-19,Debit,Entertainment,31303.62,UPI,Education,Success
T000306,A04975,2025-10-08,Credit,Bills,58472.8,ATM,Restaurant,Success
T000307,A04603,2026-09-10,Credit,Food,15471.49,Debit Card,Healthcare,Success
T000308,A04823,2026-01-23,Credit,Other,82301.04,ATM,Restaurant,Success
T000309,A03071,2025-09-28,Debit,Other,48096.01,Debit Card,Online,Success
T000310,A02636,2025-01-17,Credit,Education,73303.13,Credit Card,Utility,Success
T000311,A03781,2025-11-27,Debit,Education,90987.64,UPI,Travel,Success
T000312,A04809,2025-05-11,Debit,Healthcare,64791.19,ATM,Retail,Success
T000313,A04060,2026-09-04,Credit,Groceries,55868.71,Debit Card,Online,Success
T000314,A00876,2024-11-04,Credit,Food,92845.82,UPI,Healthcare,Success
T000315,A01293,2025-08-29,Credit,Entertainment,95413.7,UPI,Retail,Success
T000316,A01647,2025-05-20,Debit,Entertainment,68239.53,Net Banking,Education,Success
T000317,A03935,2025-08-26,Debit,Education,11138.87,Debit Card,Education,Success
T000318,A03840,2026-01-17,Debit,Education,43054.45,Credit Card,Retail,Success
T000319,A02422,2025-07-26,Debit,Education,15812.69,ATM,Retail,Success
T000320,A01726,2026-08-18,Debit,Education,90853.87,Net Banking,Education,Success
T000321,A01376,2026-03-03,Credit,Shopping,14469.28,Credit Card,Healthcare,Success
T000322,A00589,2026-03-17,Credit,Travel,57497.92,Credit Card,Utility,Success
T000323,A03449,2024-10-17,Credit,Education,12698.46,Net Banking,Retail,Success
T000324,A03146,2026-02-19,Credit,Utilities,15841.76,UPI,Fuel,Success
T000325,A00176,2026-01-28,Credit,Groceries,32095.22,Credit Card,Retail,Success
T000326,A01514,2026-03-29,Credit,Groceries,23832.06,UPI,Other,Success
T000327,A03861,2026-01-18,Debit,Groceries,86527.23,Debit Card,Retail,Success
T000328,A03539,2025-12-13,Credit,Education,43599.14,Credit Card,Healthcare,Success
T000329,A02657,2025-10-31,Debit,Bills,27843.84,UPI,Online,Pending
T000330,A02274,2026-09-05,Debit,Healthcare,22443.99,Debit Card,Utility,Success
T000331,A00601,2025-11-10,Credit,Utilities,66586.39,Credit Card,Utility,Success
T000332,A01965,2024-09-25,Debit,Healthcare,45363.09,Debit Card,Grocery,Success
T000333,A03634,2025-12-05,Credit,Food,35754.12,Credit Card,Restaurant,Success
T000334,A02583,2024-11-26,Debit,Shopping,44102.7,Credit Card,Travel,Pending
T000335,A00069,2024-12-19,Credit,Bills,62327.16,Credit Card,Retail,Success
T000336,A04355,2026-03-26,Credit,Food,29000.45,Debit Card,Fuel,Success
T000337,A04807,2025-09-28,Credit,Bills,93284.47,Credit Card,Utility,Success
T000338,A01233,2025-07-27,Credit,Travel,31432.79,UPI,Retail,Success
T000339,A01533,2025-12-05,Credit,Healthcare,6384.57,UPI,Education,Success
