account_id,customer_id,branch_id,account_type,opening_date,balance,account_status
A00053,C00053,B023,Savings,2026-08-07,50688.58,Active
A00054,C00054,B018,Business,2023-08-15,496719.89,Active
A00055,C00055,B025,Savings,2021-10-13,58632.19,Inactive
A00056,C00056,B016,Business,2023-04-07,495860.3,Active
A00057,C00057,B007,Savings,2024-01-05,90580.13,Active
A00058,C00058,B015,Savings,2022-05-14,465837.76,Active
A00059,C00059,B015,Current,2024-06-22,497136.93,Inactive
A00060,C00060,B026,Salary,2026-06-19,427107.19,Inactive
A00061,C00061,B003,Current,2024-02-23,366571.2,Active
A00062,C00062,B002,Current,2024-10-24,266737.13,Active
A00063,C00063,B024,Business,2023-03-19,174364.41,Inactive
A00064,C00064,B012,Business,2026-06-05,433867.2,Active
A00065,C00065,B015,Salary,2026-08-24,486982.94,Active
A00066,C00066,B012,Salary,2022-09-28,474254.06,Active
A00067,C00067,B010,Current,2022-01-30,66085.92,Active
A00068,C00068,B017,Salary,2025-03-31,439931.73,Active
A00069,C00069,B026,Salary,2023-12-25,28338.79,Inactive
A00070,C00070,B009,Salary,2023-11-06,328146.52,Active
A00071,C00071,B021,Business,2023-05-14,172576.91,Active
A00072,C00072,B028,Current,2024-12-24,423527.42,Active
A00073,C00073,B004,Current,2025-02-15,472509.85,Active
A00074,C00074,B030,Business,2022-05-13,146305.65,Inactive
A00075,C00075,B022,Savings,2023-03-05,228121.31,Inactive
A00076,C00076,B025,Current,2026-07-13,125233.62,Active
A00077,C00077,B021,Current,2022-01-10,247196.18,Active
A00078,C00078,B007,Business,2025-11-26,344116.08,Active
A00079,C00079,B029,Business,2025-11-06,180046.94,Active
A00080,C00080,B021,Savings,2023-06-25,401592.08,Active
A00081,C00081,B020,Business,2025-11-15,481346.52,Active
A00082,C00082,B009,Salary,2025-11-15,358805.3,Active
A00083,C00083,B002,Business,2024-10-18,306395.99,Active
A00084,C00084,B011,Current,2023-01-29,137048.84,Active
A00085,C00085,B011,Current,2022-03-11,441142.8,Active
A00086,C00086,B002,Savings,2024-08-01,259777.6,Inactive
A00087,C00087,B015,Business,2021-12-23,255052.46,Active
A00088,C00088,B027,Business,2025-08-12,175943.49,Active
A00089,C00089,B009,Salary,2022-12-24,130924.68,Active
A00090,C00090,B009,Salary,2025-07-21,216611.25,Active
A00091,C00091,B027,Salary,2022-11-05,345774.84,Inactive
A00092,C00092,B020,Current,2023-02-15,227916.54,Active
A00093,C00093,B001,Salary,2025-04-30,124257.17,Active
A00094,C00094,B005,Business,2022-09-13,480370.77,Active
A00095,C00095,B028,Business,2023-10-05,402933.03,Inactive
A00096,C00096,B019,Current,2025-09-27,442975.61,Active
A00097,C00097,B010,Salary,2022-02-18,243214.22,Active
A00098,C00098,B027,Business,2023-12-06,56803.79,Inactive
A00099,C00099,B022,Current,2024-05-09,130627.59,Active
A00100,C00100,B002,Savings,2024-06-15,431614.71,Inactive
A00101,C00101,B023,Salary,2022-03-03,91639.63,Active
A00102,C00102,B029,Current,2024-02-04,416662.57,Active
A00103,C00103,B019,Business,2026-07-10,85553.35,Active
A00104,C00104,B008,Savings,2024-05-21,79719.2,Active
A00105,C00105,B021,Business,2024-02-12,19891.36,Active
A00106,C00106,B029,Current,2024-03-07,491785.69,Active
A00107,C00107,B023,Current,2024-02-18,88052.71,Active
A00108,C00108,B002,Savings,2024-10-25,12376.9,Active
A00109,C00109,B006,Savings,2024-04-07,13057.34,Inactive
A00110,C00110,B015,Business,2025-05-26,192804.2,Active
A00111,C00111,B030,Savings,2025-12-20,256421.98,Inactive
A00112,C00112,B023,Business,2023-11-08,65242.84,Active
A00113,C00113,B027,Salary,2025-06-17,98728.66,Inactive
A00114,C00114,B026,Savings,2026-03-24,147938.12,Active
A00115,C00115,B029,Salary,2025-04-21,464635.31,Active
A00116,C00116,B021,Savings,2022-09-04,296868.15,Active
A00117,C00117,B026,Business,2025-01-01,141799.97,Active
A00118,C00118,B007,Salary,2025-05-12,158118.36,Active
A00119,C00119,B027,Savings,2026-01-13,22260.26,Active
A00120,C00120,B024,Savings,2025-08-12,231236.81,Inactive
A00121,C00121,B030,Current,2023-10-23,6736.61,Active
A00122,C00122,B011,Business,2022-09-04,221579.76,Active
A00123,C00123,B011,Savings,2026-02-15,451955.0,Active
A00124,C00124,B014,Business,2026-02-09,486359.83,Inactive
A00125,C00125,B014,Salary,2021-10-02,50553.63,Active
A00126,C00126,B029,Business,2022-08-09,458489.24,Active
A00127,C00127,B028,Savings,2024-08-20,355934.59,Active
A00128,C00128,B010,Savings,2024-03-10,404842.61,Active
A00129,C00129,B004,Business,2024-08-02,308988.66,Active
A00130,C00130,B025,Business,2026-01-08,25769.04,Active
A00131,C00131,B012,Current,2026-08-01,217798.77,Active
A00132,C00132,B010,Current,2022-12-13,192070.72,Inactive
A00133,C00133,B006,Business,2026-05-12,305431.96,Active
A00134,C00134,B017,Current,2022-08-16,272268.13,Active
A00135,C00135,B016,Business,2025-05-05,391886.69,Active
A00136,C00136,B012,Savings,2023-01-26,188642.9,Inactive
A00137,C00137,B006,Salary,2021-12-17,229499.48,Active
A00138,C00138,B019,Business,2023-11-09,448912.13,Active
A00139,C00139,B023,Current,2024-01-23,67619.58,Active
A00140,C00140,B005,Business,2025-03-11,441183.86,Active
A00141,C00141,B015,Current,2024-02-23,193169.51,Active
A00142,C00142,B003,Savings,2023-09-25,381720.95,Active
A00143,C00143,B030,Current,2025-11-17,470668.86,Inactive
A00144,C00144,B012,Salary,2024-12-11,257695.9,Active
A00145,C00145,B015,Business,2025-09-27,231174.49,Active
A00146,C00146,B022,Current,2026-07-18,246697.49,Inactive
A00147,C00147,B020,Current,2025-04-21,393108.89,Active
A00148,C00148,B018,Current,2025-10-14,143763.79,Inactive
A00149,C00149,B005,Business,2023-03-04,136804.21,Active
A00150,C00150,B005,Business,2024-08-15,170462.38,Active
A00151,C00151,B015,Savings,2026-09-09,406525.57,Active
A00152,C00152,B024,Salary,2026-03-17,136868.52,Active
A00153,C00153,B004,Salary,2022-08-23,342102.55,Active
A00154,C00154,B016,Savings,2021-12-09,162885.42,Active
A00155,C00155,B001,Current,2023-05-15,67532.62,Active
A00156,C00156,B016,Savings,2024-08-10,356601.78,Active
A00157,C00157,B024,Savings,2025-06-18,36367.82,Inactive
A00158,C00158,B008,Salary,2023-12-07,207954.33,Active
A00159,C00159,B015,Current,2024-01-01,109579.7,Active
A00160,C00160,B009,Business,2025-06-02,495980.34,Active
A00161,C00161,B030,Salary,2026-08-29,444274.96,Active
A00162,C00162,B001,Savings,2022-12-31,49034.91,Active
A00163,C00163,B006,Salary,2023-10-28,359953.0,Active
A00164,C00164,B003,Current,2026-02-01,496874.47,Active
A00165,C00165,B013,Salary,2024-11-12,8092.26,Active
A00166,C00166,B002,Salary,2023-11-17,471770.72,Active
A00167,C00167,B003,Savings,2022-09-04,289308.67,Active
A00168,C00168,B020,Current,2022-10-29,422701.05,Active
A00169,C00169,B027,Savings,2026-07-28,160916.77,Inactive
A00170,C00170,B003,Savings,2021-11-27,373214.75,Active
A00171,C00171,B027,Business,2023-07-10,31353.86,Active
A00172,C00172,B007,Savings,2022-06-12,21249.88,Active
A00173,C00173,B026,Business,2026-01-21,298855.98,Active
A00174,C00174,B001,Business,2024-12-27,131930.71,Active
A00175,C00175,B029,Salary,2023-01-13,283078.32,Active
A00176,C00176,B023,Salary,2025-06-09,117366.65,Active
A00177,C00177,B026,Business,2023-09-09,209536.16,Active
A00178,C00178,B028,Business,2023-09-22,175583.82,Active
A00179,C00179,B009,Business,2022-08-05,384165.6,Inactive
A00180,C00180,B027,Savings,2024-02-15,479871.4,Active
A00181,C00181,B016,Current,2025-06-12,403362.87,Active
A00182,C00182,B007,Savings,2022-04-02,22583.23,Active
A00183,C00183,B002,Current,2023-10-28,179138.53,Inactive
A00184,C00184,B008,Current,2024-10-29,39016.77,Active
A00185,C00185,B007,Salary,2021-12-01,221735.95,Active
A00186,C00186,B011,Current,2025-08-14,213235.05,Active
A00187,C00187,B013,Salary,2024-09-25,489611.73,Inactive
A00188,C00188,B002,Business,2024-04-21,226663.3,Active
A00189,C00189,B023,Salary,2025-11-11,446042.9,Active
A00190,C00190,B018,Salary,2025-09-23,483998.14,Active
A00191,C00191,B026,Current,2023-10-04,194399.41,Active
A00192,C00192,B013,Current,2025-11-17,272395.1,Active
A00193,C00193,B011,Savings,2024-08-22,225530.46,Inactive
A00194,C00194,B030,Salary,2024-04-29,353820.52,Inactive
A00195,C00195,B012,Business,2023-09-30,311837.94,Active
A00196,C00196,B003,Salary,2021-10-21,480655.86,Active
A00197,C00197,B007,Current,2022-04-08,365947.33,Active
A00198,C00198,B020,Savings,2022-06-03,272716.87,Active
A00199,C00199,B029,Salary,2024-11-06,58034.37,Inactive
A00200,C00200,B021,Salary,2024-05-04,366656.84,Active
A00201,C00201,B029,Current,2025-09-13,54366.29,Active
A00202,C00202,B004,Business,2023-06-13,390560.04,Inactive
A00203,C00203,B004,Savings,2025-04-16,75450.48,Active
A00204,C00204,B023,Business,2021-12-19,342578.7,Active
A00205,C00205,B022,Current,2024-01-04,88254.09,Active
A00206,C00206,B013,Salary,2024-07-24,460091.74,Active
A00207,C00207,B027,Salary,2024-01-14,350823.14,Active
A00208,C00208,B022,Current,2022-07-05,499114.39,Active
A00209,C00209,B022,Current,2026-04-06,95209.24,Active
A00210,C00210,B026,Salary,2024-11-08,436601.86,Active
A00211,C00211,B001,Current,2025-01-21,430666.14,Active
A00212,C00212,B003,Salary,2022-10-31,59941.93,Active
A00213,C00213,B028,Current,2023-01-05,453720.27,Active
A00214,C00214,B026,Salary,2024-01-29,222876.5,Active
A00215,C00215,B002,Business,2022-05-29,144847.18,Inactive
A00216,C00216,B004,Business,2022-04-22,353571.31,Active
A00217,C00217,B015,Savings,2022-11-11,465721.41,Active
A00218,C00218,B021,Savings,2026-07-05,457160.37,Active
A00219,C00219,B002,Savings,2026-07-25,491370.75,Active
A00220,C00220,B022,Current,2022-04-24,485068.19,Active
A00221,C00221,B007,Savings,2024-06-12,6487.08,Active
A00222,C00222,B005,Savings,2023-03-09,439752.0,Inactive
A00223,C00223,B002,Salary,2024-03-24,36882.69,Active
A00224,C00224,B021,Savings,2021-11-03,477928.82,Active
A00225,C00225,B029,Current,2021-09-28,480122.96,Active
A00226,C00226,B012,Current,2026-01-30,455104.77,Active
A00227,C00227,B005,Savings,2024-03-12,183866.26,Active
A00228,C00228,B002,Savings,2022-09-17,206740.75,Inactive
A00229,C00229,B019,Savings,2023-05-19,323842.03,Inactive
A00230,C00230,B019,Business,2024-06-11,471737.77,Active
A00231,C00231,B003,Business,2021-12-28,359978.77,Inactive
A00232,C00232,B009,Savings,2022-11-08,390255.49,Active
A00233,C00233,B016,Salary,2023-08-16,348722.16,Active
A00234,C00234,B023,Current,2021-11-14,332795.12,Active
A00235,C00235,B010,Salary,2024-11-20,431634.57,Active
A00236,C00236,B001,Business,2025-08-04,247934.37,Inactive
A00237,C00237,B025,Current,2023-08-30,170416.27,Active
A00238,C00238,B007,Current,2023-11-24,318277.14,Active
A00239,C00239,B003,Business,2024-08-04,110195.7,Inactive
A00240,C00240,B011,Salary,2022-03-27,69353.9,Inactive
A00241,C00241,B006,Salary,2022-03-25,57355.09,Active
A00242,C00242,B006,Savings,2023-09-02,315729.49,Active
A00243,C00243,B008,Current,2023-06-10,157319.06,Active
A00244,C00244,B003,Savings,2024-03-01,369928.24,Active
A00245,C00245,B019,Savings,2024-07-03,323359.76,Inactive
A00246,C00246,B027,Savings,2023-03-22,181303.9,Active
A00247,C00247,B021,Business,2026-06-25,257666.19,Active
A00248,C00248,B001,Current,2022-02-24,443767.23,Active
A00249,C00249,B003,Business,2023-11-06,199328.13,Active
A00250,C00250,B026,Current,2026-04-30,310051.82,Active
A00251,C00251,B010,Salary,2026-02-24,479055.45,Inactive
A00252,C00252,B011,Business,2026-07-21,165022.42,Active
A00253,C00253,B003,Current,2023-08-05,298742.45,Inactive
A00254,C00254,B010,Current,2024-03-29,200644.46,Active
A00255,C00255,B027,Current,2026-06-27,212444.73,Active
A00256,C00256,B026,Savings,2025-05-05,442948.42,Active
A00257,C00257,B015,Salary,2026-02-09,180092.94,Active
A00258,C00258,B003,Salary,2023-03-18,233662.15,Inactive
A00259,C00259,B029,Savings,2022-07-17,348977.01,Active
A00260,C00260,B001,Business,2022-04-22,61694.55,Active
A00261,C00261,B027,Current,2021-10-09,116696.64,Active
A00262,C00262,B006,Current,2024-04-19,218567.3,Active
A00263,C00263,B004,Current,2024-12-30,38424.96,Active
A00264,C00264,B017,Business,2023-08-14,362780.75,Active
A00265,C00265,B019,Savings,2021-09-25,219698.75,Active
A00266,C00266,B017,Business,2023-04-11,109660.82,Active
A00267,C00267,B011,Savings,2022-08-05,366513.36,Active
A00268,C00268,B019,Business,2021-09-24,346682.36,Inactive
A00269,C00269,B006,Savings,2023-05-02,193951.28,Active
A00270,C00270,B023,Savings,2022-11-12,376454.17,Active
A00271,C00271,B030,Current,2022-12-17,241981.35,Active
A00272,C00272,B003,Business,2024-07-02,306284.96,Active
A00273,C00273,B017,Business,2025-01-27,450111.27,Active
A00274,C00274,B011,Salary,2022-11-06,433785.16,Active
A00275,C00275,B017,Current,2022-04-08,88220.07,Inactive
A00276,C00276,B006,Savings,2022-01-17,31717.3,Active
A00277,C00277,B020,Salary,2023-03-05,270644.02,Active
A00278,C00278,B005,Current,2024-09-29,34284.0,Active
A00279,C00279,B009,Salary,2026-08-08,246200.97,Active
A00280,C00280,B021,Current,2024-03-26,366915.42,Active
A00281,C00281,B003,Business,2025-04-17,487099.35,Active
A00282,C00282,B019,Current,2022-02-07,352044.89,Active
A00283,C00283,B024,Savings,2022-03-09,68152.43,Active
A00284,C00284,B002,Salary,2022-09-02,468866.79,Active
A00285,C00285,B008,Current,2025-10-30,69639.33,Inactive
A00286,C00286,B016,Salary,2022-02-21,425990.81,Active
A00287,C00287,B023,Savings,2023-05-14,125631.13,Active
A00288,C00288,B002,Current,2024-03-02,254152.37,Inactive
A00289,C00289,B011,Savings,2022-01-18,206543.21,Inactive
A00290,C00290,B007,Savings,2021-09-16,342680.06,Active
A00291,C00291,B012,Current,2022-11-04,467776.85,Inactive
A00292,C00292,B015,Business,2023-04-02,181150.17,Active
A00293,C00293,B020,Current,2022-01-01,70349.49,Active
A00294,C00294,B022,Savings,2022-01-18,327621.83,Active
A00295,C00295,B014,Savings,2023-01-08,237489.85,Inactive
A00296,C00296,B028,Savings,2024-05-21,430997.3,Active
A00297,C00297,B019,Current,2024-03-09,64069.16,Active
A00298,C00298,B009,Current,2025-07-02,421862.69,Active
A00299,C00299,B003,Business,2024-04-09,198981.62,Active
A00300,C00300,B019,Savings,2025-06-28,401721.93,Active
A00301,C00301,B004,Business,2022-07-25,245989.7,Active
A00302,C00302,B012,Business,2026-02-22,280804.12,Active
A00303,C00303,B027,Business,2023-05-15,421510.13,Inactive
A00304,C00304,B015,Savings,2023-12-04,194666.53,Inactive
A00305,C00305,B030,Current,2023-09-03,46635.77,Inactive
A00306,C00306,B012,Salary,2026-07-21,34920.06,Active
A00307,C00307,B025,Salary,2025-04-23,153749.03,Active
A00308,C00308,B015,Business,2022-10-18,198800.54,Active
A00309,C00309,B022,Salary,2023-10-14,304306.28,Active
A00310,C00310,B023,Current,2024-09-02,285938.68,Active
A00311,C00311,B001,Salary,2024-07-10,325375.5,Inactive
A00312,C00312,B006,Business,2022-06-24,98937.51,Active
A00313,C00313,B013,Current,2024-06-05,219750.74,Active
A00314,C00314,B003,Salary,2024-02-22,484485.45,Active
A00315,C00315,B007,Business,2024-05-22,334404.98,Active
A00316,C00316,B021,Salary,2022-07-27,136944.75,Active
A00317,C00317,B004,Savings,2024-09-27,269231.47,Inactive
A00318,C00318,B020,Savings,2023-06-26,371253.12,Inactive
A00319,C00319,B005,Current,2025-10-12,363555.67,Active
A00320,C00320,B022,Business,2025-05-05,135516.51,Active
A00321,C00321,B018,Salary,2022-08-07,403473.98,Active
A00322,C00322,B024,Salary,2021-10-26,473881.18,Active
A00323,C00323,B029,Salary,2022-03-06,335021.67,Active
A00324,C00324,B018,Current,2026-09-08,116331.86,Active
A00325,C00325,B007,Savings,2024-01-10,405413.82,Active
A00326,C00326,B003,Savings,2022-12-25,354670.89,Active
A00327,C00327,B028,Business,2025-08-02,205805.56,Active
A00328,C00328,B024,Salary,2023-08-05,188048.49,Inactive
A00329,C00329,B025,Business,2025-08-02,458488.11,Active
A00330,C00330,B016,Salary,2023-04-05,399052.69,Inactive
A00331,C00331,B019,Salary,2021-09-21,362264.12,Active
A00332,C00332,B007,Salary,2024-10-29,483691.9,Inactive
A00333,C00333,B012,Business,2026-05-30,495608.46,Active
A00334,C00334,B013,Business,2022-10-13,465940.69,Inactive
A00335,C00335,B026,Savings,2024-11-16,218299.47,Active
A00336,C00336,B005,Savings,2025-02-02,92656.18,Active
A00337,C00337,B012,Savings,2025-12-24,270065.78,Active
A00338,C00338,B019,Salary,2021-09-28,463020.05,Active
A00339,C00339,B017,Savings,2021-11-03,408309.14,Active
A00340,C00340,B025,Business,2022-08-14,299992.55,Active
A00341,C00341,B026,Salary,2024-10-27,289979.71,Inactive
A00342,C00342,B010,Business,2025-10-10,94953.31,Active
A00343,C00343,B001,Business,2024-04-22,435707.3,Active
A00344,C00344,B005,Current,2024-08-06,187131.65,Active
A00345,C00345,B009,Current,2023-01-02,195478.95,Active
A00346,C00346,B002,Salary,2024-10-10,327079.25,Active
A00347,C00347,B008,Current,2026-07-11,470774.53,Active
A00348,C00348,B010,Salary,2024-08-01,443634.79,Active
A00349,C00349,B023,Savings,2025-01-17,229138.56,Inactive
A00350,C00350,B008,Business,2026-03-21,116872.71,Active
A00351,C00351,B001,Savings,2026-01-07,250362.8,Active
A00352,C00352,B030,Current,2024-06-01,75333.93,Active
A00353,C00353,B003,Salary,2024-06-02,366295.28,Inactive
A00354,C00354,B003,Salary,2026-09-05,162576.14,Active
A00355,C00355,B012,Salary,2024-11-22,370866.57,Active
A00356,C00356,B014,Business,2021-10-23,133581.99,Inactive
A00357,C00357,B002,Savings,2021-09-22,251123.94,Active
A00358,C00358,B028,Savings,2022-12-26,347292.99,Inactive
A00359,C00359,B026,Salary,2026-03-12,438279.48,Active
A00360,C00360,B008,Business,2022-08-23,234085.55,Active
A00361,C00361,B019,Business,2025-05-18,203150.98,Active
A00362,C00362,B014,Current,2022-02-27,101514.7,Active
A00363,C00363,B004,Salary,2025-05-28,455958.24,Active
A00364,C00364,B030,Salary,2022-01-31,408569.09,Inactive
A00365,C00365,B030,Savings,2026-04-20,17170.37,Active
A00366,C00366,B011,Savings,2024-02-24,23001.44,Active
A00367,C00367,B016,Current,2025-08-07,366096.67,Active
A00368,C00368,B010,Current,2025-07-11,163295.36,Active
A00369,C00369,B004,Business,2025-08-30,18102.53,Active
A00370,C00370,B008,Savings,2023-03-12,385773.49,Active
A00371,C00371,B025,Business,2024-05-06,266897.86,Active
A00372,C00372,B016,Current,2023-07-22,454674.39,Active
A00373,C00373,B004,Current,2025-05-12,192151.31,Active
A00374,C00374,B012,Current,2022-11-05,261458.25,Inactive
A00375,C00375,B006,Savings,2022-01-07,302461.86,Active
A00376,C00376,B019,Business,2024-12-01,393126.05,Active
A00377,C00377,B005,Salary,2023-04-09,483348.3,Active
A00378,C00378,B027,Current,2025-12-16,455224.58,Active
A00379,C00379,B006,Current,2024-03-27,321768.63,Inactive
A00380,C00380,B008,Current,2023-09-08,447342.63,Active
A00381,C00381,B001,Salary,2022-11-10,184977.33,Inactive
A00382,C00382,B023,Current,2025-05-09,392020.06,Active
A00383,C00383,B005,Current,2024-08-07,214497.29,Active
A00384,C00384,B017,Salary,2021-12-15,486136.47,Inactive
A00385,C00385,B013,Savings,2022-09-18,454162.01,Inactive
A00386,C00386,B002,Current,2022-04-23,197599.53,Inactive
A00387,C00387,B026,Savings,2026-09-04,383423.16,Active
A00388,C00388,B027,Current,2023-07-24,193660.83,Active
A00389,C00389,B001,Business,2025-03-27,66717.24,Inactive
A00390,C00390,B004,Salary,2025-07-23,324179.05,Active
A00391,C00391,B029,Current,2025-04-18,354513.05,Inactive
A00392,C00392,B022,Business,2025-10-03,461906.23,Active
A00393,C00393,B018,Salary,2022-03-01,390778.6,Inactive
A00394,C00394,B007,Salary,2023-03-21,224095.03,Active
A00395,C00395,B005,Current,2023-04-10,108860.99,Active
A00396,C00396,B023,Current,2023-03-02,75109.03,Active
A00397,C00397,B030,Savings,2026-08-28,319196.52,Active
A00398,C00398,B009,Current,2026-02-13,176322.53,Active
A00399,C00399,B023,Current,2023-07-20,93425.91,Active
A00400,C00400,B013,Savings,2023-07-10,191628.33,Active
A00401,C00401,B007,Salary,2024-04-26,329764.41,Inactive
A00402,C00402,B008,Business,2024-01-21,432924.16,Active
A00403,C00403,B003,Savings,2022-01-31,268128.46,Active
A00404,C00404,B013,Business,2023-02-08,141510.96,Active
A00405,C00405,B001,Business,2025-04-08,336156.18,Active
A00406,C00406,B028,Salary,2021-12-31,387224.25,Active
A00407,C00407,B005,Savings,2025-09-08,444796.92,Active
A00408,C00408,B008,Business,2022-05-22,91384.82,Active
A00409,C00409,B017,Salary,2023-11-22,333665.25,Active
A00410,C00410,B019,Business,2022-05-31,330141.23,Inactive
A00411,C00411,B003,Salary,2022-05-27,366596.3,Inactive
A00412,C00412,B002,Salary,2022-01-30,162618.12,Active
A00413,C00413,B026,Current,2022-09-02,468707.83,Active
A00414,C00414,B012,Savings,2025-07-31,216918.94,Active
A00415,C00415,B003,Savings,2025-10-03,285282.09,Active
A00416,C00416,B011,Business,2026-01-07,139451.5,Active
A00417,C00417,B019,Business,2022-08-25,298250.41,Active
A00418,C00418,B019,Salary,2026-01-07,228175.34,Inactive
A00419,C00419,B012,Current,2026-07-01,34798.07,Active
A00420,C00420,B026,Current,2022-04-10,13989.28,Active
A00421,C00421,B014,Current,2026-06-07,334998.45,Active
A00422,C00422,B020,Business,2025-08-23,52566.52,Active
A00423,C00423,B005,Salary,2026-03-07,41279.35,Active
A00424,C00424,B019,Current,2025-02-15,377189.39,Inactive
A00425,C00425,B029,Business,2023-12-10,234064.92,Inactive
A00426,C00426,B013,Savings,2025-01-18,285365.37,Inactive
A00427,C00427,B007,Savings,2022-10-07,86661.97,Inactive
A00428,C00428,B029,Business,2022-03-18,119505.48,Active
A00429,C00429,B005,Business,2021-10-13,327756.99,Active
A00430,C00430,B015,Salary,2025-03-29,349249.17,Inactive
A00431,C00431,B021,Business,2022-01-08,179446.35,Active
A00432,C00432,B021,Salary,2022-06-02,105492.57,Active
A00433,C00433,B021,Business,2026-06-03,167763.76,Active
A00434,C00434,B001,Salary,2026-03-31,94936.06,Active
A00435,C00435,B005,Savings,2022-04-29,83477.07,Active
A00436,C00436,B012,Savings,2025-11-28,388424.89,Inactive
A00437,C00437,B026,Business,2022-12-21,139782.28,Active
A00438,C00438,B019,Business,2025-05-15,400772.75,Active
A00439,C00439,B016,Savings,2023-05-05,356928.39,Active
A00440,C00440,B005,Business,2026-08-09,484243.94,Inactive
A00441,C00441,B013,Salary,2022-01-20,158047.48,Inactive
A00442,C00442,B016,Business,2021-11-04,152383.22,Inactive
A00443,C00443,B019,Business,2024-10-18,462061.84,Active
A00444,C00444,B014,Current,2025-08-05,195900.18,Active
A00445,C00445,B014,Savings,2025-12-04,132181.12,Active
A00446,C00446,B002,Savings,2022-08-15,206319.49,Active
A00447,C00447,B011,Current,2026-01-07,237778.59,Active
A00448,C00448,B019,Business,2026-04-06,487650.49,Inactive
A00449,C00449,B020,Current,2025-07-19,481628.6,Inactive
A00450,C00450,B003,Savings,2023-11-24,441952.3,Active
A00451,C00451,B005,Business,2023-09-30,115256.38,Active
A00452,C00452,B002,Salary,2025-09-12,298814.4,Active
A00453,C00453,B006,Salary,2025-07-24,178133.46,Active
A00454,C00454,B017,Current,2026-02-02,234022.91,Active
A00455,C00455,B014,Salary,2025-07-22,121211.52,Active
A00456,C00456,B028,Salary,2022-10-05,308970.35,Active
A00457,C00457,B020,Business,2023-10-18,177597.07,Active
A00458,C00458,B014,Business,2025-01-19,127766.77,Active
A00459,C00459,B025,Salary,2025-04-03,437956.21,Active
A00460,C00460,B024,Current,2026-02-24,157158.82,Active
A00461,C00461,B026,Savings,2021-12-14,396895.02,Active
A00462,C00462,B020,Savings,2022-12-11,200783.35,Active
A00463,C00463,B025,Current,2022-04-07,417722.78,Active
A00464,C00464,B009,Business,2022-07-28,146119.0,Active
A00465,C00465,B029,Business,2024-03-14,135578.21,Active
A00466,C00466,B005,Current,2024-07-09,28633.4,Active
